bID,Name,Primary Use,Floors,Year Acquired,Perimeter,Area,Footprint,Centroid,Outline
0,Barletta,Athletic Facility,3,1954,342,23438.77741,6269,"[-71.08961267153299, 42.33939817882002]","[[-71.09010522135948, 42.33945414538503], [-71.0894312441978, 42.33961441293181], [-71.08941240484747, 42.33958854477849], [-71.08921968848793, 42.33966579292275], [-71.08912429969514, 42.33953481508912], [-71.08916147540265, 42.339519913050566], [-71.08913442102718, 42.3394827621211], [-71.08904066963365, 42.33952034197689], [-71.08883938374703, 42.33924395355398], [-71.08993274182643, 42.3388056814503], [-71.0901745621863, 42.339137721823356], [-71.0901333609947, 42.339154237567655], [-71.0902831114081, 42.339359856217385], [-71.09009226682164, 42.339436358046854], [-71.09010522135948, 42.33945414538503]]"
1,Behrakis,Classroom/Admin.,9,2002,157,11573.02118,1301,"[-71.09127803788142, 42.33694616695695]","[[-71.09116002488207, 42.336814694250414], [-71.09116014045482, 42.33680356703765], [-71.09116074379327, 42.33679244696116], [-71.09116182995638, 42.336781347507824], [-71.09116340008147, 42.33677028038551], [-71.0911663996399, 42.33675489693906], [-71.09134296091442, 42.33680053393775], [-71.09134971934951, 42.33678370717368], [-71.09183589586677, 42.33696651024108], [-71.09180543899716, 42.337117399265935], [-71.0914465808354, 42.337073836889665], [-71.09143391446086, 42.3370721758505], [-71.09142134137342, 42.33707016222653], [-71.09140888097687, 42.337067797887414], [-71.09139654781517, 42.33706508558569], [-71.09138436370131, 42.337062029900444], [-71.09137234194846, 42.337058636280744], [-71.09136050194853, 42.33705490839675], [-71.0913488594416, 42.33705085170628], [-71.09133743258855, 42.337046472575906], [-71.09132623592188, 42.337041775558916], [-71.09131528637177, 42.33703676971844], [-71.09130459847024, 42.33703145960765], [-71.09129418792837, 42.337025855185765], [-71.09128407169358, 42.33701996281509], [-71.09127426063462, 42.33701379063701], [-71.09126476924293, 42.33700734950663], [-71.09125561446015, 42.33700064668663], [-71.091246805924, 42.33699369301487], [-71.09123835813195, 42.33698649844618], [-71.0912302807389, 42.33697907111758], [-71.09122258822482, 42.3369714236848], [-71.0912152902331, 42.336963566085416], [-71.09120839518788, 42.33695550915293], [-71.09120191756905, 42.33694726554308], [-71.09119586094114, 42.33693884697233], [-71.09119023736868, 42.336930264287254], [-71.09118505525815, 42.33692153102211], [-71.09118065729648, 42.336913322715205], [-71.09117646221087, 42.33690263752278], [-71.09117273612974, 42.33689185856689], [-71.09116948142143, 42.33688099485897], [-71.09116670286402, 42.33687005811985], [-71.09116440158331, 42.33685906185797], [-71.09116258116126, 42.336848015089025], [-71.09116124515657, 42.33683693042978], [-71.09116039227402, 42.33682582047978], [-71.09116002488207, 42.336814694250414]]"
2,Cabot,Athletic Facility,3,1954,175,23438.77741,1694,"[-71.08976901714604, 42.33964392478397]","[[-71.0894312441978, 42.33961441293181], [-71.09010522135948, 42.33945414538503], [-71.09024470248653, 42.33964566040027], [-71.08963267348858, 42.33989099227096], [-71.0894312441978, 42.33961441293181]]"
3,Cargill,Classroom/Admin.,1,1982,96,2636.380528,512,"[-71.09155799898984, 42.33894276566179]","[[-71.09145966869492, 42.338928757840364], [-71.0914430410314, 42.33890473656119], [-71.09142848287772, 42.33890545097538], [-71.09139536789115, 42.33886048880544], [-71.0915087204447, 42.33881453733363], [-71.09154773119946, 42.33886750331323], [-71.09160127630457, 42.338845797510345], [-71.09174021462337, 42.33888704542106], [-71.09177586286553, 42.338943605953865], [-71.09175241556747, 42.33900040859347], [-71.09161274999973, 42.33905338185344], [-71.09162122184831, 42.33906272727502], [-71.0915856938631, 42.33907553917894], [-71.09154376016458, 42.339064976521655], [-71.09145210776651, 42.33894053561125], [-71.09145966869492, 42.338928757840364]]"
4,Churchill,Classroom/Admin.,6,1959,140,5228.26087,1022,"[-71.08879368499444, 42.33879021413075]","[[-71.08853404306349, 42.33880926931909], [-71.08906519543014, 42.33859823086214], [-71.08918314837706, 42.338761631529636], [-71.088651995038, 42.3389726696238], [-71.08853404306349, 42.33880926931909]]"
5,Columbus Place,Administrative,7,1910,233,11537.71832,1553,"[-71.08503863177503, 42.337572089564816]","[[-71.0850514431225, 42.337877492043646], [-71.08472147061376, 42.337538297180814], [-71.08487057128991, 42.33745845926744], [-71.08490534318146, 42.337494202225265], [-71.08494533175785, 42.33747278997497], [-71.08497160958012, 42.337499803612246], [-71.08493025710924, 42.33752194648716], [-71.08504680744129, 42.337641753314756], [-71.0850932696423, 42.33761687484176], [-71.08507282441771, 42.337595858431115], [-71.08510502425165, 42.33757861698326], [-71.08512635542328, 42.337600543180734], [-71.08516903156439, 42.33757769287984], [-71.08500719732137, 42.337411336007584], [-71.08514964965498, 42.33733505690153], [-71.08543911068124, 42.337627307226], [-71.0850514431225, 42.337877492043646]]"
6,Cullinane,Administrative,3,1911,143,2605.258268,824,"[-71.08650688494129, 42.34004544859242]","[[-71.08628495507499, 42.339975884021776], [-71.08658192485835, 42.33985888425868], [-71.086639178155, 42.339938865964555], [-71.08651517665048, 42.33998772010449], [-71.08670748753504, 42.340256377412715], [-71.08653451724015, 42.34032452436297], [-71.08628495507499, 42.339975884021776]]"
7,Curry Student Center,Student Services,6,1964,271,15567.91156,3308,"[-71.08754470213567, 42.339140209026596]","[[-71.08792991473818, 42.339250666287825], [-71.08752040111554, 42.3394037557275], [-71.0875173789445, 42.339399599021014], [-71.08742580498001, 42.339436245469905], [-71.08740637370038, 42.33940952166804], [-71.08739602333873, 42.339413663682805], [-71.08735737374867, 42.33936050402286], [-71.08723150737633, 42.33941087373717], [-71.08718390726702, 42.33934540548984], [-71.08730977354705, 42.339295035826936], [-71.08718424813527, 42.339122390654374], [-71.0872094590362, 42.33911230156272], [-71.08719539567262, 42.339092959591255], [-71.08718310473523, 42.339097878774396], [-71.08709006046139, 42.33896990381203], [-71.08758500860625, 42.338771834206725], [-71.0876489705323, 42.33885980708518], [-71.08763695586158, 42.338864615671326], [-71.08765613329841, 42.33889099011384], [-71.08775602838972, 42.33885101342439], [-71.08778748208695, 42.33889427544388], [-71.08784844111291, 42.33886988088187], [-71.08798237013686, 42.33905408280085], [-71.08792080507253, 42.339078721041126], [-71.08795195230192, 42.33912156057719], [-71.08786216872849, 42.33915749085497], [-71.08792991473818, 42.339250666287825]]"
8,Dana,Research/Classroom,6,1966,144,6630.806392,1268,"[-71.08926627264886, 42.338132505060905]","[[-71.08916830748434, 42.338296317544774], [-71.08896847754507, 42.338062934489635], [-71.08942528294229, 42.33788314252402], [-71.08960098778822, 42.33812381320133], [-71.08916830748434, 42.338296317544774]]"
9,Dockser,Classroom/Admin.,5,1968,154,5888.424378,1251,"[-71.09052821322454, 42.3386629868415]","[[-71.09070797790238, 42.33867549381483], [-71.09072669909818, 42.33870351628399], [-71.09069341597875, 42.33871983926967], [-71.09073448043561, 42.33877637259818], [-71.09040423745304, 42.33890737842369], [-71.09015614436241, 42.33856950566694], [-71.09023219299621, 42.338538769754386], [-71.09025612808168, 42.3385713655371], [-71.09051436082538, 42.338466997224515], [-71.09067673043403, 42.33868812286834], [-71.09070797790238, 42.33867549381483]]"
10,Dodge,Classroom/Admin.,6,1952,184,7973.429952,1687,"[-71.08768974692393, 42.340321267982155]","[[-71.08769639984804, 42.34042174933343], [-71.08756595480378, 42.34024226727198], [-71.08754254303604, 42.34025163275764], [-71.08743042006697, 42.3400973578364], [-71.08773206601164, 42.3399766950957], [-71.08808629912721, 42.34046409130428], [-71.0877846515405, 42.340584754061275], [-71.08767298803319, 42.340431114845316], [-71.08769639984804, 42.34042174933343]]"
